tipo,modalidade,categoria,nome,morada,site,e_mail,telefone,fax,freguesia
Empreendimento turístico,Motel,-,Motel Alameda,"EN1, Cavada Nova, 3750-604 Macinhata do Vouga",http://www.alameda-hotel.com/pt-pt,hotelalameda@sapo.pt,234523402,234523449,Macinhata do Vouga
Empreendimento turístico,Residencial,-,Residencial Celeste,"Rua Misericordia de Agueda 713, 3750-130 Agueda",www.residencialceleste.com,residencialceleste@hotmail.com,234602871,234602871,UF Águeda e Borralha
Empreendimento turístico,Residencial,-,Residencial Castro,"Rua da Famel 295, Barrosinhas,ZI EN1 Norte, 3750 760 Trofa AGD",www.residencialcastro.pt,geral@residencialcastro.pt,234644356,234644993,"UF Trofa, Segadães e Lamas"
Alojamento local,Moradia,-,Quinta Santa Maria do Monte de Alcobar,"Rua da Escola 120C, 3750-561  Macieira de Alcoba",-,antonio.amaro@ua.pt,,,UF Préstimo e Macieira Alcôba
Empreendimento turístico,Hotel,4 estrelas,Hotel Conde de Águeda,"Rua Antonio Ferreira Sucena 7, 3750-121 Águeda",www.hotelcondedagueda.pt,geral@hotelcondedagueda.pt,234610390,234610399,UF Águeda e Borralha
Empreendimento turístico,Hotel,3 estrelas,Hotel Estalagem da Pateira,"Rua da Pateira 84, 3750-439 Fermentelos",www.pateira.com,info@pateira.com,234721219,234722181,Fermentelos
Empreendimento turístico,Motel,-,Motel Primavera,"Rua do Vale do Grou 1243, Vale do Grou, 3750- 064 Aguada de Cima",-,-,234666237,234666247,Aguada de Cima
Empreendimento turístico,Pensão,-,Pensão Parreira,"Rua do Passadouro 6 , Passadouro, 3750-035 Aguada de Baixo",-,-,234667765,,UF Barrô e Aguada de Baixo
Empreendimento turístico,Parque de Campismo,-,Parque de Campismo do Rossio,"Largo Hildebrando Carlos Veiga 168, Aguadela, 3750-031 Aguada de Baixo",-,cccaguadadebaixo@sapo.pt,234666327,234741479,UF Barrô e Aguada de Baixo
Empreendimento turístico,Residencial,-,Residencial Trindade,"Rua da Famel 28, ZI EN1 Norte, 3750-760 Trofa AGD",www.residencialtrindade.com,geral@residencialotrindade.com,234645830,234645830,"UF Trofa, Segadães e Lamas"
Empreendimento turístico,Hotel,4 estrelas,Quinta do Louredo Hotel,"Rua Direita 1549,  Paradela, 3750-405 Espinhel",www.quintadolouredo.com,geral@quintadolouredo.com,234690070,234690079,UF Recardaes e Espinhel
